season,week,celebrity_name,judge_total,judge_share,fan_share,fair_score,rank_score,percent_score,eliminated_fair_rule,eliminated_rank_rule,eliminated_percent_rule,actual_eliminated
1,1,John O'Hurley,6.666666666666667,0.18348623853211007,0.238095238095238,0.22171253822629963,4.0,0.4215814766273481,0,0,0,0
1,1,Kelly Monaco,4.333333333333333,0.11926605504587154,0.0476190476190476,0.0691131498470948,12.0,0.16688510266491913,0,0,0,0
1,1,Evander Holyfield,6.0,0.16513761467889906,0.119047619047619,0.13287461773700304,9.0,0.28418523372651805,0,0,0,0
1,1,Rachel Hunter,6.666666666666667,0.18348623853211007,0.238095238095238,0.22171253822629963,4.0,0.4215814766273481,0,0,0,0
1,1,Joey McIntyre,6.666666666666667,0.18348623853211007,0.238095238095238,0.22171253822629963,4.0,0.4215814766273481,0,0,0,0
1,1,Trista Sutter,6.0,0.16513761467889906,0.119047619047619,0.13287461773700304,9.0,0.28418523372651805,0,0,0,0
1,2,John O'Hurley,8.666666666666666,0.21487603305785122,0.0952380952380952,0.13112947658402202,6.0,0.3101141282959464,0,0,0,0
1,2,Kelly Monaco,5.666666666666667,0.14049586776859505,0.238095238095238,0.20881542699724512,7.0,0.37859110586383304,0,0,0,0
1,2,Evander Holyfield,4.666666666666667,0.11570247933884298,0.2857142857142857,0.23471074380165288,7.0,0.4014167650531287,0,0,0,0
1,2,Rachel Hunter,8.0,0.1983471074380165,0.1428571428571428,0.15950413223140492,6.0,0.34120425029515933,0,0,0,0
1,2,Joey McIntyre,7.0,0.17355371900826444,0.1904761904761904,0.18539944903581262,6.0,0.36402990948445485,0,0,0,0
1,2,Trista Sutter,6.333333333333333,0.15702479338842973,0.0476190476190476,0.08044077134986224,10.0,0.20464384100747735,1,1,1,1
1,3,John O'Hurley,8.0,0.22641509433962262,0.2,0.2079245283018868,5.0,0.42641509433962266,0,0,0,0
1,3,Kelly Monaco,7.0,0.1981132075471698,0.3333333333333333,0.29276729559748427,5.0,0.5314465408805031,0,0,0,0
1,3,Evander Holyfield,4.333333333333333,0.12264150943396225,0.0666666666666666,0.08345911949685529,10.0,0.18930817610062883,1,1,1,1
1,3,Rachel Hunter,8.666666666666666,0.2452830188679245,0.1333333333333333,0.16691823899371067,5.0,0.3786163522012578,0,0,0,0
1,3,Joey McIntyre,7.333333333333333,0.20754716981132074,0.2666666666666666,0.24893081761006286,5.0,0.4742138364779873,0,0,0,0
1,4,John O'Hurley,7.0,0.22826086956521738,0.3,0.27847826086956523,5.0,0.5282608695652173,0,0,0,0
1,4,Kelly Monaco,8.666666666666666,0.2826086956521739,0.2,0.22478260869565217,4.0,0.4826086956521739,0,0,0,0
1,4,Rachel Hunter,8.333333333333334,0.2717391304347826,0.1,0.15152173913043476,6.0,0.37173913043478257,1,1,1,1
1,4,Joey McIntyre,6.666666666666667,0.21739130434782608,0.4,0.3452173913043478,5.0,0.6173913043478261,0,0,0,0
1,5,John O'Hurley,9.0,0.36986301369863017,0.3333333333333333,0.34429223744292237,3.0,0.7031963470319635,0,0,0,0
1,5,Kelly Monaco,7.833333333333333,0.3219178082191781,0.5,0.4465753424657534,3.0,0.821917808219178,0,0,0,0
1,5,Joey McIntyre,7.5,0.3082191780821918,0.1666666666666666,0.20913242009132416,6.0,0.4748858447488584,1,1,1,1
1,6,John O'Hurley,9.0,0.49541284403669733,0.3333333333333333,0.3819571865443425,4.0,0.8287461773700306,0,0,0,0
1,6,Kelly Monaco,9.166666666666666,0.5045871559633028,0.6666666666666666,0.6180428134556575,2.0,1.1712538226299696,0,0,0,0
2,1,Tatum O'Neal,7.666666666666667,0.11794871794871796,0.0727272727272727,0.08629370629370628,9.5,0.19067599067599067,0,0,0,0
2,1,Tia Carrere,6.666666666666667,0.10256410256410257,0.1272727272727272,0.11986013986013982,10.0,0.2298368298368298,0,0,0,0
2,1,George Hamilton,6.0,0.09230769230769231,0.1636363636363636,0.14223776223776222,10.0,0.2559440559440559,0,0,0,0
2,1,Lisa Rinna,6.333333333333333,0.09743589743589744,0.1454545454545454,0.131048951048951,10.0,0.24289044289044281,0,0,0,0
