season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,judge_total,fan_vote_share,judge_share
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,6.666666666666667,0.238095238095238,0.18348623853211007
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,4.333333333333333,0.0476190476190476,0.11926605504587154
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,6.0,0.119047619047619,0.16513761467889906
1,1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,6.666666666666667,0.238095238095238,0.18348623853211007
1,1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,6.666666666666667,0.238095238095238,0.18348623853211007
1,1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,6.0,0.119047619047619,0.16513761467889906
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,8.666666666666666,0.0952380952380952,0.21487603305785122
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,5.666666666666667,0.238095238095238,0.14049586776859505
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,4.666666666666667,0.2857142857142857,0.11570247933884298
1,2,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,8.0,0.1428571428571428,0.1983471074380165
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,7.0,0.1904761904761904,0.17355371900826444
1,2,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,6.333333333333333,0.0476190476190476,0.15702479338842973
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,8.0,0.2,0.22641509433962262
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,7.0,0.3333333333333333,0.1981132075471698
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,4.333333333333333,0.0666666666666666,0.12264150943396225
1,3,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,8.666666666666666,0.1333333333333333,0.2452830188679245
1,3,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,7.333333333333333,0.2666666666666666,0.20754716981132074
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,7.0,0.3,0.22826086956521738
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,8.666666666666666,0.2,0.2826086956521739
1,4,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,8.333333333333334,0.1,0.2717391304347826
1,4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,6.666666666666667,0.4,0.21739130434782608
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,9.0,0.3333333333333333,0.36986301369863017
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,7.833333333333333,0.5,0.3219178082191781
1,5,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,7.5,0.1666666666666666,0.3082191780821918
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,9.0,0.3333333333333333,0.49541284403669733
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,9.166666666666666,0.6666666666666666,0.5045871559633028
2,1,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,7.666666666666667,0.0727272727272727,0.11794871794871796
2,1,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,6.666666666666667,0.1272727272727272,0.10256410256410257
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,6.0,0.1636363636363636,0.09230769230769231
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,6.333333333333333,0.1454545454545454,0.09743589743589744
2,1,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,7.333333333333333,0.0909090909090909,0.11282051282051282
2,1,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.0,0.109090909090909,0.1076923076923077
2,1,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,7.666666666666667,0.0545454545454545,0.11794871794871796
2,1,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,4.0,0.1818181818181818,0.06153846153846154
2,1,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,8.0,0.0363636363636363,0.12307692307692308
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,4.333333333333333,0.0181818181818181,0.06666666666666667
2,2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,5.666666666666667,0.0222222222222222,0.08500000000000002
2,2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,7.333333333333333,0.1555555555555555,0.11000000000000001
2,2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.333333333333333,0.1333333333333333,0.11000000000000001
2,2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,6.666666666666667,0.1777777777777777,0.10000000000000002
2,2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,9.666666666666666,0.0444444444444444,0.14500000000000002
2,2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.666666666666667,0.1111111111111111,0.11500000000000002
2,2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,8.0,0.0888888888888888,0.12000000000000002
2,2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,5.333333333333333,0.2,0.08
2,2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.0,0.0666666666666666,0.135
2,3,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,8.666666666666666,0.1111111111111111,0.14285714285714285
2,3,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.333333333333333,0.1666666666666666,0.12087912087912087
2,3,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.333333333333334,0.1388888888888889,0.13736263736263737
2,3,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,9.0,0.0833333333333333,0.14835164835164835
2,3,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,6.333333333333333,0.1944444444444444,0.10439560439560439
2,3,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,7.333333333333333,0.0277777777777777,0.12087912087912087
2,3,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,4.666666666666667,0.2222222222222222,0.07692307692307693
2,3,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.0,0.0555555555555555,0.14835164835164835
2,4,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,8.333333333333334,0.1785714285714285,0.15822784810126583
2,4,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.0,0.25,0.1329113924050633
2,4,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.666666666666666,0.1428571428571428,0.16455696202531644
2,4,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,8.666666666666666,0.1071428571428571,0.16455696202531644
2,4,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,8.0,0.2142857142857142,0.1518987341772152
2,4,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2.6666666666666665,0.0357142857142857,0.05063291139240506
2,4,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.333333333333334,0.0714285714285714,0.17721518987341775
2,5,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,7.333333333333333,0.0476190476190476,0.1456953642384106
2,5,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,8.0,0.238095238095238,0.15894039735099338
2,5,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.333333333333334,0.1904761904761904,0.1655629139072848
2,5,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,10.0,0.0952380952380952,0.19867549668874174
2,5,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.666666666666667,0.2857142857142857,0.15231788079470202
2,5,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.0,0.1428571428571428,0.17880794701986757
2,6,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.666666666666667,0.0666666666666666,0.17293233082706766
2,6,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,9.0,0.2666666666666666,0.20300751879699247
2,6,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,10.0,0.2,0.22556390977443608
2,6,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.666666666666667,0.3333333333333333,0.17293233082706766
2,6,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,10.0,0.1333333333333333,0.22556390977443608
2,7,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.833333333333334,0.1,0.25980392156862747
2,7,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,9.166666666666666,0.3,0.2696078431372549
2,7,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,6.833333333333333,0.4,0.20098039215686272
2,7,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.166666666666666,0.2,0.2696078431372549
2,8,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,9.5555,0.3333333333333333,0.339920718960216
2,8,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,8.888866666666667,0.1666666666666666,0.3162063678588072
2,8,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.6666,0.5,0.3438729131809768
3,1,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,5.666666666666667,0.1,0.08018867924528303
